scene,dynfrac,ndyn,h0,r0,hhi,rhi
alley_1,0.16135730333496542,2485,0.8109430587182309,0.7821741522238194,0.8110950271938955,0.48481230767523503
alley_2,0.010924111537248022,133,0.9676736106188909,0.9716293151108775,0.9674272779251186,0.9339879742803192
ambush_2,0.436628767680718,4724,0.3041397556772856,0.0979632512312391,0.3038545394412017,0.12482177465189075
ambush_4,0.23605565939771544,1646,0.7645432584557053,0.5656420354370011,0.7623549943433634,0.7140440798962576
ambush_5,0.3844729128916737,5064,0.7467993743241803,0.6601414196301404,0.7460663776673666,0.4577520195752012
ambush_6,0.33647981994609283,4715,0.7675239883422867,0.4843014959043904,0.7652516444773859,0.40143681205882026
bamboo_1,0.011013440758751126,149,0.635213690377866,0.6023530719330124,0.6336469810893651,0.5687935607721418
bamboo_2,0.015142067259298616,151,0.609870674811944,0.6430638743413811,0.6071464037742351,0.5683936344396516
bandage_1,0.6120088302097766,8048,0.7106584473157096,0.6818321724436507,0.7077762144043378,0.25673563097548596
bandage_2,0.10221060505876056,1089,0.6002838335426982,0.5068821340517509,0.599176093228145,0.3787632712658013
cave_2,0.2408979920454465,3602,0.9297644885800238,0.790809921114449,0.9316618929541899,0.6676386711620875
cave_4,0.6464914367110092,9756,0.34212845916337953,0.2081381325176888,0.34145224974977023,0.22170876380480975
market_2,0.274374557955786,2996,0.6845060239068811,0.6262190503074576,0.6797264339251013,0.33727444756102926
market_5,0.26266658976643564,3441,0.6277417166868895,0.2092075398478951,0.6353911728253302,0.1930845018958749
market_6,0.14713823319367547,1690,0.7493963957186021,0.7429515560183252,0.7505100006298314,0.6888427204041028
shaman_2,0.49114607537627253,6606,0.22527745856913117,0.20645384883475965,0.2354737516582566,0.2700458156654654
shaman_3,0.01371983197661815,178,0.6372610860886386,0.5720817205917352,0.6601258549841842,0.329015912980251
temple_2,0.01723112894143733,246,0.7106090096330003,0.6939134556203231,0.708755058060513,0.6030765347246618
temple_3,0.14193476906124353,2123,0.6027396591674947,0.18866812471129027,0.5978016912642214,0.18399110560487622
